date,code,name,price,turnover,amount_m,amplitude,bias_ma5,rsi,kdj_j,boll_pct,ma20_slope,day_1_ret,day_3_ret,day_5_ret,day_10_ret
2026-07-03,603638,艾迪精密,27.9,6.86,1596.26,10.51,13.19,70.14,104.54,88.17,1.324,,,,
2026-06-26,000703,恒逸石化,16.67,6.53,4037.59,9.79,13.51,76.47,111.71,126.41,1.371,-10.02,-12.18,-12.66,
2026-06-25,603898,好莱客,14.41,5.05,222.49,9.21,9.48,79.51,96.02,143.47,0.717,0.69,10.69,2.22,
2026-06-24,603327,福蓉科技,11.5,8.34,973.69,8.92,5.39,64.9,108.17,108.12,0.403,-5.91,-23.74,-27.65,
2026-06-24,603339,四方科技,15.4,9.23,433.97,7.21,9.81,77.21,110.51,128.41,0.839,-3.7,-10.65,-6.1,
2026-06-23,603339,四方科技,14.56,7.65,346.63,6.0,7.79,73.44,99.08,127.21,0.41,5.77,-2.06,-1.85,
2026-06-17,603166,福达股份,15.81,7.61,751.86,9.12,12.64,69.61,108.13,114.18,0.616,4.3,0.89,-8.16,-11.57
2026-06-15,002203,海亮股份,24.79,8.14,4373.67,12.8,15.01,67.75,114.76,119.9,0.793,-1.17,2.94,-1.57,-7.83
2026-06-15,600576,祥源文旅,6.55,9.08,383.01,8.58,10.6,63.51,103.74,124.74,0.659,-8.55,-10.99,-14.35,-9.92
2026-06-15,000630,铜陵有色,7.66,11.19,9342.48,6.2,13.28,60.3,97.92,106.77,1.215,-1.17,-0.13,-6.79,-16.97
2026-06-09,000058,深 赛 格,14.2,5.74,1182.93,12.99,67.33,86.28,79.64,152.73,3.898,1.9,-51.55,-51.83,-55.56
2026-06-08,000837,秦川机床,12.67,6.94,880.9,9.9,7.48,48.63,78.82,79.34,0.368,4.58,-3.24,-2.53,-5.84
